Id, Mot
1, 'usually'
2, 'office'
3, 'ten'
4, 'west'
5, 'enough'
6, 'sea'
7, 'at'
8, 'social'
9, 'couple'
10, 'present'
11, 'change'
12, 'look'
13, 'measure'
14, 'car'
15, 'down'
16, 'avoid'
17, 'factor'
18, 'already'
19, 'company'
20, 'leave'
21, 'citizen'
22, 'suggest'
23, 'own'
24, 'door'
25, 'draw'
26, 'both'
27, 'smile'
28, 'data'
29, 'song'
30, 'note'
31, 'career'
32, 'we'
33, 'along'
34, 'television'
35, 'somebody'
36, 'recently'
37, 'piece'
38, 'bed'
39, 'writer'
40, 'since'
41, 'wrong'
42, 'little'
43, 'national'
44, 'choose'
45, 'general'
46, 'be'
47, 'coach'
48, 'sign'
49, 'forget'
50, 'until'
